ID,Name,Host Id,Host Id Verified,Host Name,Neighbourhood Group,Neighbourhood,Latitude,Longitude,Country,Instant Bookable,Cancellation Policy,Room Type,Number of Reviews,Reviews(per month),Average Ratings,Price in Dollars,Service Fee in Dollars,Minimum Nights,Availability 365,Construction Year,Property Age,Estimated Annual Revenue in Dollars,Occupancy Rate
1016248,Magnifique Suite Au N De Manhattan - Vue Cloitres,38811420224,TRUE,Adrianna,Manhattan,Inwood,40.86754,-73.92639,United States,FALSE,Strict,Private room,0,0,0,274,55,4,96,2017,Mid Age,0,26.30%
1016800,Midtown Pied-A-Terre,19382804591,FALSE,Andrew,Manhattan,Hell'S Kitchen,40.76715,-73.98533,United States,FALSE,Moderate,Entire home/apt,58,0.49,3,209,42,10,103,2016,Mid Age,1228.92,28.22%
1020667,Large B&B Style Rooms,57938703679,FALSE,Jared,Brooklyn,Bedford-Stuyvesant,40.68310,-73.95473,United States,TRUE,Strict,Private room,74,0.66,3,191,38,1,76,2016,Mid Age,1512.72,20.82%
1021219,"Lovely Room 2 & Garden; Best Area, Legal Rental",53343148512,TRUE,Brad,Brooklyn,South Slope,40.66869,-73.98780,United States,TRUE,Moderate,Private room,168,1.41,3,"1,111",222,4,365,2003,Old Property,18798.12,100.00%
1021771,Clean And Quiet In Brooklyn,26207748876,TRUE,Arthur,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,United States,FALSE,Moderate,Private room,0,0,0,203,41,60,294,2004,Old Property,0,80.55%
1022323,Cute Apt In Artist'S Home,88653822946,TRUE,Joyce,Brooklyn,Bushwick,40.70186,-73.92745,United States,TRUE,Moderate,Entire home/apt,231,1.96,3,"1,097",219,2,214,2005,Old Property,25801.44,58.63%
1022876,Country Space In The City,49725315867,TRUE,Deanna,Brooklyn,Flatbush,40.63702,-73.96327,United States,TRUE,Strict,Private room,0,0,3,"1,020",204,1,356,2011,Mid Age,0,97.53%
1023428,Lowereastside Apt Share Shortterm 1,31736204344,FALSE,Clark,Manhattan,Lower East Side,40.71401,-73.98917,United States,TRUE,Moderate,Shared room,214,1.81,5,"1,010",202,1,110,2012,Mid Age,21937.2,30.14%
1023980,Enjoy Downtown Nyc!,63131487263,FALSE,Byron,Manhattan,East Village,40.72290,-73.98199,United States,FALSE,Strict,Private room,245,2.08,3,563,113,2,354,2005,Old Property,14052.48,96.99%
1024533,Beautiful Sunny Park Slope Brooklyn,50357575975,TRUE,Alina,Brooklyn,South Slope,40.66278,-73.97966,United States,TRUE,Flexible,Entire home/apt,15,0.39,2,370,74,3,33,2020,New Property,1731.6,9.04%
1025085,1Bdr W Private Bath. In Lofty Apt,45597582469,FALSE,Charlie,Brooklyn,Fort Greene,40.69673,-73.97584,United States,FALSE,Strict,Private room,25,0.23,1,687,137,7,365,2008,Old Property,1896.12,100.00%
1025637,West Side Retreat,55430108992,FALSE,Alford,Manhattan,Upper West Side,40.79009,-73.97927,United States,FALSE,Strict,Private room,81,0.69,3,856,171,4,86,2017,Mid Age,7087.68,23.56%
1026190,Best Bet In Harlem,2107606817,FALSE,Chester,Manhattan,Harlem,40.81175,-73.94478,United States,TRUE,Flexible,Entire home/apt,97,0.84,3,62,12,7,152,2006,Old Property,624.96,41.64%
1026742,Entire Apartment In Central Brooklyn Neighborhood.,41615406010,FALSE,David,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,United States,FALSE,Strict,Entire home/apt,11,0.49,3,435,87,3,353,2007,Old Property,2557.8,96.71%
1027294,"1 Stop Fr. Manhattan! Private Suite,Landmark Block",81253735818,FALSE,Victoria,Queens,Long Island City,40.74771,-73.94740,United States,TRUE,Flexible,Private room,248,2.25,3,916,183,3,26,2022,New Property,24732,7.12%
1027846,Charming Brownstone 3 - Near Pratt,42134614458,TRUE,Jared,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,United States,TRUE,Moderate,Entire home/apt,61,0.52,3,459,92,3,32,2019,Mid Age,2864.16,8.77%
1028399,Bright And Stylish Duplex,53466382920,TRUE,Chloe,Brooklyn,Bedford-Stuyvesant,40.68554,-73.94090,United States,FALSE,Moderate,Entire home/apt,11,0.1,1,363,73,3,85,2015,Mid Age,435.6,23.29%
1028951,Fort Greene Brownstone,49393946881,FALSE,Abraham,Brooklyn,Fort Greene,40.69142,-73.97376,United States,TRUE,Strict,Private room,135,1.16,1,212,42,3,167,2009,Old Property,2951.04,45.75%
1029503,Blue Room For 2 In Brownstone For $1350 Monthly,1529890895,FALSE,Sophia,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,United States,FALSE,Moderate,Private room,112,1.01,2,728,146,3,167,2015,Mid Age,8823.36,45.75%
1030056,Cozy 1Bd On Central Park West In New York City,50562514538,FALSE,Madaline,Manhattan,Upper West Side,40.78635,-73.97008,United States,TRUE,Strict,Entire home/apt,73,0.63,3,901,180,3,167,2013,Mid Age,6811.56,45.75%
1030608,* Original Brooklyn Loft *,49585766302,TRUE,Sawyer,Brooklyn,Williamsburg,40.70420,-73.93560,United States,FALSE,Flexible,Entire home/apt,82,0.7,2,335,67,3,167,2007,Old Property,2814,45.75%
1031160,Greenpoint Place...Has It All!,52857769781,FALSE,Madaline,Brooklyn,Greenpoint,40.73506,-73.95392,United States,TRUE,Moderate,Entire home/apt,328,2.82,5,254,51,3,167,2014,Mid Age,8595.36,45.75%
1031713,Beautiful Apartment In Manhattan!!!,39829029279,TRUE,Richard,Manhattan,Kips Bay,40.73961,-73.98074,United States,TRUE,Moderate,Entire home/apt,19,0.22,5,903,181,3,167,2017,Mid Age,2383.92,45.75%
1032265,Williamsburg 1 Bedroom Apartment,84933495312,FALSE,Paul,Brooklyn,Williamsburg,40.70881,-73.95930,United States,FALSE,Moderate,Entire home/apt,105,0.9,5,439,88,30,167,2012,Mid Age,4741.2,45.75%
1032817,Unknown,18424415847,FALSE,Carina,Manhattan,Lower East Side,40.72004,-73.99104,United States,TRUE,Flexible,Private room,19,0.17,4,"1,024",205,5,167,2009,Old Property,2088.96,45.75%
1033369,Unknown,48877238684,FALSE,Sophia,Manhattan,Hell'S Kitchen,40.75531,-73.99293,United States,TRUE,Strict,Private room,289,2.49,3,658,132,2,167,2006,Old Property,19661.04,45.75%
1033922,Unknown,71987706184,TRUE,Rosie,Brooklyn,Greenpoint,40.72401,-73.93788,United States,FALSE,Flexible,Private room,138,1.19,1,543,109,4,167,2020,New Property,7754.04,45.75%
1034474,Unknown,85649449746,TRUE,Frederick,Manhattan,Soho,40.72210,-73.99775,United States,TRUE,Strict,Entire home/apt,21,0.3,5,256,51,30,167,2019,Mid Age,921.6,45.75%
1035026,Unknown,22028915442,FALSE,Agata,Brooklyn,Williamsburg,40.71185,-73.96204,United States,FALSE,Moderate,Private room,42,0.38,3,294,59,2,167,2012,Mid Age,1340.64,45.75%
1035579,Unknown,51930287368,FALSE,George,Manhattan,Chelsea,40.74623,-73.99530,United States,TRUE,Moderate,Entire home/apt,5,0.12,2,779,156,180,167,2004,Old Property,1121.76,45.75%
1036131,Unknown,85658272266,FALSE,Kelsey,Manhattan,Upper East Side,40.77065,-73.95269,United States,FALSE,Strict,Entire home/apt,66,0.57,5,653,131,2,167,2020,New Property,4466.52,45.75%
1036683,Unknown,91715353208,FALSE,Sabrina,Brooklyn,Prospect Heights,40.67811,-73.96428,United States,TRUE,Flexible,Entire home/apt,143,1.33,1,303,61,30,167,2012,Mid Age,4835.88,45.75%
1037236,Double Room W Private Deck Clinton Hill Best Area,71078326464,FALSE,William,Brooklyn,Clinton Hill,40.69000,-73.96788,United States,FALSE,Flexible,Private room,27,0.23,2,825,165,7,167,2010,Old Property,2277,45.75%
1037788,Your Heaven In Hells Kitchen,20543275700,TRUE,Melissa,Manhattan,Hell'S Kitchen,40.75979,-73.99119,United States,FALSE,Strict,Private room,191,1.65,1,646,129,30,167,2013,Mid Age,12790.8,45.75%
1038340,Light-Filled 2B Duplex In The Heart Of Park Slope!,42969787263,TRUE,Ellia,Brooklyn,Park Slope,40.67343,-73.98338,United States,FALSE,Flexible,Entire home/apt,4,0.16,3,"1,037",207,3,167,2006,Old Property,1991.04,45.75%
1038892,"Sunny, Modern Room In East Village!",79667908130,FALSE,Walter,Manhattan,East Village,40.72649,-73.97904,United States,FALSE,Strict,Private room,338,4.72,3,87,17,1,167,2015,Mid Age,4927.68,45.75%
1039445,*Haven Loft - Entire Floor - Six Windows - Bricks*,19095545297,FALSE,Sawyer,Brooklyn,Williamsburg,40.70933,-73.96792,United States,TRUE,Moderate,Entire home/apt,148,1.4,1,316,63,1,167,2007,Old Property,5308.8,45.75%
1039997,Large Room In Amazing East Village Apt,58710475260,FALSE,Valeria,Manhattan,East Village,40.72298,-73.98474,United States,TRUE,Flexible,Private room,106,1.26,3,735,147,1,167,2017,Mid Age,11113.2,45.75%
1040549,Spaha Loft: Enormous And Bright,27952493551,FALSE,Adelaide,Manhattan,East Harlem,40.80164,-73.93922,United States,FALSE,Flexible,Entire home/apt,190,1.64,4,524,105,4,167,2017,Mid Age,10312.32,45.75%
1041102,Lovely Ev Artist'S Home,90314634438,FALSE,Reid,Manhattan,East Village,40.72162,-73.98008,United States,FALSE,Moderate,Entire home/apt,49,0.43,3,238,48,9,167,2019,Mid Age,1228.08,45.75%
1041654,Cool Room In Hell'S Kitchen,44843744875,TRUE,Charlie,Manhattan,Hell'S Kitchen,40.76342,-73.98865,United States,FALSE,Moderate,Private room,23,0.43,3,603,121,7,167,2017,Mid Age,3111.48,45.75%
1042206,"Harlem, New York Welcomes You!!",98195975718,FALSE,Violet,Manhattan,Washington Heights,40.83139,-73.94095,United States,TRUE,Moderate,Private room,49,1.6,2,571,114,2,167,2011,Mid Age,10963.2,45.75%
1042759,Blue Trim Guest House,4726877402,FALSE,Audrey,Brooklyn,Clinton Hill,40.68346,-73.96374,United States,TRUE,Strict,Private room,105,0.92,1,398,80,2,167,2014,Mid Age,4393.92,45.75%
1043311,Charming East Village One Bedroom Flat,74322993447,TRUE,Violet,Manhattan,East Village,40.72828,-73.98801,United States,FALSE,Strict,Entire home/apt,21,0.2,4,618,124,5,167,2018,Mid Age,1483.2,45.75%
1043863,Manhattan Room,11468499446,TRUE,Sofia,Manhattan,Upper East Side,40.76865,-73.95058,United States,FALSE,Strict,Private room,142,1.5,4,116,23,1,167,2007,Old Property,2088,45.75%
1044415,Little King Of Queens,68599531533,FALSE,Melanie,Queens,Woodside,40.75038,-73.90334,United States,TRUE,Flexible,Private room,25,0.22,2,54,11,30,167,2012,Mid Age,142.56,45.75%
1044968,Fort Greene Retreat On The Park,43811392937,FALSE,Lenny,Brooklyn,Fort Greene,40.69320,-73.97267,United States,TRUE,Flexible,Private room,143,1.28,2,744,149,3,167,2013,Mid Age,11427.84,45.75%
1045520,Beautiful Meatpacking District Loft,6644226026,FALSE,Eddy,Manhattan,Chelsea,40.74138,-74.00197,United States,TRUE,Strict,Private room,167,1.65,4,"1,065",213,3,167,2011,Mid Age,21087,45.75%
1046072,Unknown,73077753757,TRUE,Arthur,Brooklyn,Williamsburg,40.71154,-73.96112,United States,FALSE,Moderate,Private room,61,0.54,3,"1,057",211,3,167,2017,Mid Age,6849.36,45.75%
1046625,Spacious Luminous Apt Upper West Nyc,97798221815,TRUE,Alisa,Manhattan,Harlem,40.82915,-73.95136,United States,TRUE,Flexible,Entire home/apt,54,0.49,3,"1,056",211,31,167,2005,Old Property,6209.28,45.75%
1047177,Entire 2 Bedroom - Large & Sunny,54627928830,TRUE,Edgar,Manhattan,Lower East Side,40.71851,-73.98892,United States,FALSE,Moderate,Entire home/apt,70,0.62,4,909,182,5,167,2017,Mid Age,6762.96,45.75%
1047729,"Sunny, Spacious Top Floor Haven",88585125323,TRUE,Justin,Brooklyn,Flatbush,40.65401,-73.96323,United States,TRUE,Moderate,Entire home/apt,16,0.15,4,586,117,6,167,2017,Mid Age,1054.8,45.75%
1048282,Private Room Great Deal At Lower East Side,15834881958,FALSE,Violet,Manhattan,Lower East Side,40.71140,-73.98794,United States,TRUE,Strict,Private room,94,0.84,3,575,115,30,167,2013,Mid Age,5796,45.75%
1048834,Perfect For A Family Or Small Group,34333762709,FALSE,Sienna,Brooklyn,Brooklyn Heights,40.69723,-73.99268,United States,FALSE,Strict,Entire home/apt,25,0.24,3,292,58,1,167,2013,Mid Age,840.96,45.75%
1049386,2 Bedroom Williamsburg Apt - Bedford L Stop,76203104999,TRUE,Lucy,Brooklyn,Williamsburg,40.71833,-73.95748,United States,TRUE,Strict,Entire home/apt,61,0.53,4,194,39,3,167,2007,Old Property,1233.84,45.75%
1049938,Oh Glorious Spring!,7693754055,FALSE,Ellia,Manhattan,East Village,40.72334,-73.98440,United States,FALSE,Flexible,Private room,194,1.73,2,123,25,3,167,2022,New Property,2553.48,45.75%
1050491,Great Location For Nyc,65444463877,FALSE,Emma,Manhattan,East Village,40.72912,-73.98057,United States,FALSE,Strict,Private room,2,0.05,5,"1,079",216,1,167,2004,Old Property,647.4,45.75%
1051043,Cozy Bedroom In Williamsburg 3 Br,14067827221,FALSE,Lilianna,Brooklyn,Williamsburg,40.71156,-73.96218,United States,FALSE,Moderate,Private room,174,1.54,5,266,53,3,167,2015,Mid Age,4915.68,45.75%
1051595,Sunny Room+Pvte Office In Huge Loft,12884105458,FALSE,Albert,Brooklyn,Bushwick,40.70032,-73.93830,United States,FALSE,Moderate,Private room,24,0.28,5,728,146,4,167,2012,Mid Age,2446.08,45.75%
1052148,Spacious Prospect Heights Apartment,63218812094,FALSE,Sarah,Brooklyn,Prospect Heights,40.68233,-73.97261,United States,FALSE,Flexible,Entire home/apt,166,3.4,2,583,117,4,167,2021,New Property,23786.4,45.75%
1052700,"Large Parlor Room, Landmark Home 1 Block To Pratt",89635238032,FALSE,Rubie,Brooklyn,Clinton Hill,40.68634,-73.96600,United States,TRUE,Moderate,Private room,16,0.2,3,51,10,7,167,2012,Mid Age,122.4,45.75%
1053252,2-Bed Brownstone Duplex + Garden,40398018895,FALSE,Alfred,Brooklyn,Prospect Heights,40.68035,-73.97162,United States,FALSE,Moderate,Entire home/apt,21,0.3,3,588,118,7,167,2018,Mid Age,2116.8,45.75%
1053805,Charming 1 Bed Gr8 Wburg Location!,85349309260,FALSE,Chester,Brooklyn,Williamsburg,40.70984,-73.95775,United States,FALSE,Moderate,Entire home/apt,168,1.57,3,360,72,5,82,2010,Old Property,6782.4,22.47%
1054357,Unknown,43086080920,TRUE,Joyce,Brooklyn,Bushwick,40.70093,-73.92609,United States,TRUE,Strict,Entire home/apt,118,1.05,3,380,76,3,92,2011,Mid Age,4788,25.21%
1054909,Unknown,8644470108,TRUE,Sydney,Manhattan,Upper West Side,40.79764,-73.96177,United States,TRUE,Strict,Entire home/apt,0,0.71,0,343,69,3,55,2017,Mid Age,2922.36,15.07%
1055461,Unknown,2531706698,FALSE,Victoria,Manhattan,Harlem,40.82803,-73.94731,United States,FALSE,Flexible,Private room,1,0.11,3,160,32,3,158,2021,New Property,211.2,43.29%
1060984,"Modern Brooklyn Apt., August Sublet",38981444696,FALSE,Ned,Brooklyn,Williamsburg,40.71459,-73.94844,United States,FALSE,Strict,Entire home/apt,29,0.4,1,589,118,30,83,2017,Mid Age,2827.2,22.74%
1061537,"1,800 Sq Foot In Luxury Building",18044628997,FALSE,Emma,Manhattan,Harlem,40.80920,-73.94421,United States,TRUE,Flexible,Private room,170,1.61,1,839,168,2,258,2005,Old Property,16209.48,70.68%
1062089,Sunny 2-Story Brooklyn Townhouse W Deck And Garden,85201462079,TRUE,Alen,Brooklyn,Gowanus,40.68157,-73.98989,United States,FALSE,Strict,Entire home/apt,19,0.2,2,528,106,30,365,2011,Mid Age,1267.2,100.00%
1062641,"Times Square, Safe, Clean And Cozy!",61210263217,FALSE,Kevin,Manhattan,Hell'S Kitchen,40.75527,-73.99291,United States,TRUE,Strict,Private room,334,3,1,66,13,2,34,2014,Mid Age,2376,9.32%
1063194,"Cozy Room #3, Landmark Home 1 Block To Pratt",85719117699,FALSE,Miller,Brooklyn,Clinton Hill,40.68698,-73.96572,United States,TRUE,Flexible,Private room,19,0.2,4,761,152,2,203,2014,Mid Age,1826.4,55.62%
1063746,Beautiful Apartment East Village,95420528585,TRUE,Penelope,Manhattan,East Village,40.72880,-73.98192,United States,TRUE,Flexible,Entire home/apt,12,0.13,5,523,105,7,35,2007,Old Property,815.88,9.59%
1064298,Park Slope Green Guest House,56820832918,FALSE,Rosie,Brooklyn,South Slope,40.66853,-73.98912,United States,TRUE,Strict,Entire home/apt,467,4.22,3,631,126,30,280,2004,Old Property,31953.84,76.71%
1064851,2 Br / 2 Bath Duplex Apt With Patio! East Village,63842204720,FALSE,Olivia,Manhattan,East Village,40.72540,-73.98157,United States,FALSE,Flexible,Entire home/apt,7,0.06,5,677,135,2,365,2008,Old Property,487.44,100.00%
1065403,Nyc Fabulous Views Manhattan'S Eye,14374368872,FALSE,Paige,Manhattan,Kips Bay,40.74294,-73.98009,United States,TRUE,Flexible,Entire home/apt,38,0.38,3,574,115,5,162,2008,Old Property,2617.44,44.38%
1065955,2 Story Family Home In Williamsburg,40328778117,FALSE,Agata,Brooklyn,Williamsburg,40.71942,-73.95748,United States,TRUE,Flexible,Entire home/apt,324,3.01,3,232,46,3,169,2003,Old Property,8379.84,46.30%
1066507,Unknown,87894881413,FALSE,David,Manhattan,Upper West Side,40.77823,-73.97637,United States,FALSE,Strict,Entire home/apt,27,0.27,3,"1,154",231,6,237,Unknown,New Property,3738.96,64.93%
1067060,Great Large 1 Br Apt  In East Village!,27506185339,FALSE,Adelaide,Manhattan,East Village,40.72555,-73.97965,United States,FALSE,Strict,Entire home/apt,115,1.05,3,737,147,1,242,Unknown,Mid Age,9286.2,66.30%
1067612,Eveland Private Bed & Living Room W/ Own Entrance,25474679480,FALSE,Fenton,Brooklyn,South Slope,40.66831,-73.98604,United States,TRUE,Moderate,Private room,354,3.2,3,456,91,2,227,Unknown,Old Property,17510.4,62.19%
1068164,Sugar Hill Rest Stop,81078988196,FALSE,Madaline,Manhattan,Harlem,40.82754,-73.94919,United States,TRUE,Moderate,Entire home/apt,195,2.03,3,291,58,2,173,2005,Old Property,7088.76,47.40%
1068717,3 Story Town House In Park Slope,9853816495,FALSE,Darcy,Brooklyn,South Slope,40.66499,-73.97925,United States,TRUE,Strict,Entire home/apt,16,0.24,3,996,199,2,146,2021,New Property,2868.48,40.00%
1069269,Apartment Next To Central Park,65890112273,FALSE,Aida,Manhattan,Upper West Side,40.77842,-73.97556,United States,TRUE,Flexible,Entire home/apt,13,0.12,3,788,158,7,243,2008,Old Property,1134.72,66.58%
1069821,East Village Sanctuary,21125900343,FALSE,Jasmine,Manhattan,East Village,40.72245,-73.98527,United States,TRUE,Flexible,Entire home/apt,25,0.23,1,"1,105",221,4,365,2013,Mid Age,3049.8,100.00%
1070374,Large 1  Br In A 3 Br Brooklyn Apt. Next To Q Trn.,63113999922,TRUE,Robert,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,United States,TRUE,Moderate,Private room,9,0.08,4,"1,109",222,2,113,2015,Mid Age,1064.64,30.96%
1070926,Modern Apt With Spectacular Views,96956465387,TRUE,Lucas,Brooklyn,Williamsburg,40.71923,-73.96468,United States,TRUE,Strict,Private room,9,0.08,4,659,132,1,260,2004,Old Property,632.64,71.23%
1071478,Garden Studio In The Upper East Sid,77172555024,FALSE,Miller,Manhattan,Upper East Side,40.77800,-73.94822,United States,FALSE,Strict,Entire home/apt,21,0.19,4,571,114,5,365,2007,Old Property,1301.88,100.00%
1072030,Secluded Master Bedroom In Beautiful Huge Apt,44493053522,TRUE,Dexter,Manhattan,Washington Heights,40.85879,-73.93128,United States,TRUE,Flexible,Private room,36,0.33,5,736,147,15,266,2010,Old Property,2914.56,72.88%
1072583,B & B Room 1,46312284523,TRUE,Darcy,Brooklyn,Bedford-Stuyvesant,40.68332,-73.95470,United States,TRUE,Moderate,Private room,63,0.58,1,946,189,3,58,2013,Mid Age,6584.16,15.89%
1073135,Accommodations Galore #1,90525781448,FALSE,Daniel,Manhattan,Harlem,40.81618,-73.94894,United States,TRUE,Flexible,Entire home/apt,155,1.42,3,449,90,3,365,2005,Old Property,7650.96,100.00%
1073687,Sunny Room In New Condo,35058485479,TRUE,Victoria,Brooklyn,Clinton Hill,40.68414,-73.96351,United States,FALSE,Moderate,Private room,260,2.35,4,930,186,3,365,2018,Mid Age,26226,100.00%
1074240,Stylish & Sleek Apartment Near Soho!,24559680874,TRUE,Brooke,Manhattan,East Village,40.72392,-73.99143,United States,FALSE,Strict,Entire home/apt,73,0.66,4,329,66,5,13,2006,Old Property,2605.68,3.56%
1074792,Nyc Artists’ Loft With Roof Deck,48867545848,TRUE,Lilianna,Brooklyn,Greenpoint,40.73494,-73.95030,United States,FALSE,Flexible,Private room,193,1.86,2,"1,125",225,3,62,2006,Old Property,25110,16.99%
1075344,Unique & Charming Small 1Br Apt. Les,77518406270,FALSE,Unknown,Manhattan,Lower East Side,40.71341,-73.98856,United States,FALSE,Moderate,Entire home/apt,32,0.29,5,"1,099",220,3,62,2013,Mid Age,3824.52,16.99%
1075897,Most Central Location!,53246473793,FALSE,Unknown,Manhattan,Hell'S Kitchen,40.76754,-73.98399,United States,FALSE,Strict,Private room,50,0.45,2,256,51,2,365,2013,Mid Age,1382.4,100.00%
